eval_id,spearman_corr,spearman_p_value,kendall_corr,kendall_p_value,top1_recall,top3_recall,top5_recall,top1_hit_in_top3,top1_hit_in_top5,top3_hit_in_top5
0,0.8162195497995683,4.760081135464666e-12,0.6115942028985508,2.0557429730744558e-09,0.0,0.6666666666666666,0.6,1,1,1
1,0.9437557816836262,8.985990877326985e-23,0.8086956521739131,2.2843464354283755e-15,0.0,0.6666666666666666,0.8,1,1,1
2,0.9209374036386062,1.2720238118133692e-19,0.7681159420289856,5.184760049164851e-14,0.0,0.3333333333333333,0.8,1,1,1
3,0.8246068455134135,1.8670759363585584e-12,0.6637681159420291,7.788986692042163e-11,0.0,0.6666666666666666,1.0,1,1,1
4,0.9589269195189639,1.0418367609026481e-25,0.8666666666666667,2.0148789910237746e-17,1.0,1.0,1.0,1,1,1
5,0.9065063213074314,4.373217201289093e-18,0.7855072463768117,1.3863752939644195e-14,0.0,0.6666666666666666,1.0,0,1,1
6,0.9222941720629048,8.815551124035767e-20,0.791304347826087,8.87507145470405e-15,1.0,1.0,1.0,1,1,1
7,0.912550107924761,1.0710232975026753e-18,0.7545893719806763,1.4180623150114734e-13,0.0,0.6666666666666666,0.8,0,1,1
8,0.9451125501079246,5.325159759263245e-23,0.8164251207729469,1.238261785081313e-15,0.0,1.0,1.0,1,1,1
9,0.9679309281529448,4.936118047198209e-28,0.8628019323671499,2.7894491421604266e-17,1.0,1.0,0.8,1,1,1
10,0.9377119950662965,7.973523570002527e-22,0.8009661835748794,4.190405884310072e-15,0.0,0.6666666666666666,1.0,1,1,1
11,0.8947887758248535,5.1928750568988235e-17,0.7565217391304349,1.2295071770569135e-13,1.0,0.6666666666666666,0.6,1,1,1
12,0.9182238667900092,2.5979259615296874e-19,0.7777777777777779,2.5004187635202253e-14,1.0,1.0,0.8,1,1,1
13,0.9588035769349367,1.1114769131707092e-25,0.8396135265700484,1.9064504051455226e-16,1.0,1.0,0.8,1,1,1
14,0.9625038544557509,1.4559088426716748e-26,0.8415458937198069,1.6274650443819702e-16,0.0,0.6666666666666666,0.8,1,1,1
15,0.9377119950662965,7.973523570002527e-22,0.8086956521739131,2.2843464354283755e-15,0.0,0.6666666666666666,0.8,0,1,1
16,0.9115633672525439,1.3568075689487172e-18,0.7584541062801934,1.0656477039237877e-13,0.0,0.3333333333333333,0.8,1,1,1
17,0.927967930928153,1.7638780970041788e-20,0.7661835748792271,5.992555821862444e-14,0.0,0.6666666666666666,0.8,1,1,1
18,0.9526364477335799,2.2454661995807562e-24,0.8280193236714977,4.889709099620152e-16,1.0,1.0,1.0,1,1,1
19,0.8935553499845822,6.62387944574931e-17,0.7256038647342996,1.155546141383228e-12,1.0,0.6666666666666666,0.6,1,1,1
20,0.7428307123034228,3.403463616711218e-09,0.5632850241545895,3.391298975819633e-08,0.0,0.3333333333333333,0.4,0,0,1
21,0.8759173604687018,1.6025309862699683e-15,0.7004830917874397,6.676658839986595e-12,0.0,0.3333333333333333,0.4,0,0,1
22,0.9065063213074314,4.373217201289093e-18,0.7565217391304349,1.2295071770569135e-13,1.0,0.6666666666666666,0.8,1,1,1
23,0.735800185013876,5.686201277943625e-09,0.5497584541062803,7.14928210426389e-08,0.0,0.0,0.4,0,0,1
24,0.9259944495837188,3.1318934250912986e-20,0.7797101449275363,2.1587866899104843e-14,1.0,0.3333333333333333,0.8,1,1,1
25,0.911686709836571,1.317480065994531e-18,0.7429951690821257,3.313332089997252e-13,1.0,0.6666666666666666,0.6,1,1,1
26,0.7684859697810668,4.505275455446055e-10,0.5980676328502416,4.606814375152793e-09,0.0,0.6666666666666666,0.8,1,1,1
27,0.9370952821461609,9.840433791271207e-22,0.8067632850241546,2.6599021790638486e-15,0.0,0.6666666666666666,0.8,1,1,1
28,0.8653098982423681,8.696946933224328e-15,0.7062801932367151,4.4777370694732454e-12,1.0,0.6666666666666666,0.8,1,1,1
29,0.8891150169596053,1.5531199725090185e-16,0.7410628019323672,3.812039424065878e-13,1.0,0.6666666666666666,1.0,1,1,1
30,0.8285538082022817,1.1813933352102827e-12,0.6502415458937199,1.8649838560713627e-10,1.0,0.6666666666666666,0.8,1,1,1
31,0.8847980265186556,3.4376715733858e-16,0.7120772946859903,2.993522557358766e-12,0.0,0.6666666666666666,0.8,1,1,1
32,0.8917052112241751,9.490007941977747e-17,0.7526570048309179,1.6349572756659623e-13,0.0,1.0,1.0,1,1,1
33,0.6171446191797718,4.924597556361879e-06,0.4415458937198068,1.5119143580716663e-05,0.0,0.6666666666666666,0.6,0,1,1
34,0.7605920444033302,8.619826339518708e-10,0.5555555555555556,5.204244089980407e-08,0.0,0.0,0.0,0,0,0
35,0.9215541165587419,1.0776208473391895e-19,0.7777777777777779,2.5004187635202253e-14,1.0,0.6666666666666666,1.0,1,1,1
36,0.9501695960530372,6.689658453186223e-24,0.8260869565217391,5.713757038313027e-16,1.0,0.6666666666666666,0.6,1,1,1
37,0.7144619179771816,2.4577928503161615e-08,0.5478260869565218,7.941968933626944e-08,0.0,0.6666666666666666,0.6,1,1,1
38,0.49380203515263643,0.00048761827661734653,0.38937198067632856,0.00013581656502551404,0.0,0.0,0.4,0,0,0
39,0.757631822386679,1.0924694253887698e-09,0.5381642512077295,1.3365626660849592e-07,1.0,0.3333333333333333,0.4,1,1,1
40,0.8576626580326858,2.7001161023794476e-14,0.6830917874396135,2.1717616884961703e-11,1.0,1.0,0.6,1,1,1
41,0.832377428307123,7.49852927927297e-13,0.6637681159420291,7.788986692042163e-11,0.0,0.3333333333333333,0.2,0,0,1
42,0.9858156028368793,9.509836886397114e-36,0.918840579710145,2.172193706278255e-19,0.0,1.0,1.0,1,1,1
43,0.9320382362010483,5.117577619097938e-21,0.8048309178743962,3.0961066445279464e-15,1.0,1.0,0.8,1,1,1
44,0.9880357693493679,2.299012347715676e-37,0.9207729468599034,1.827592892965346e-19,0.0,1.0,0.8,1,1,1
45,0.9877890841813135,3.592985108858902e-37,0.9246376811594205,1.2923478771499127e-19,1.0,1.0,0.8,1,1,1
46,0.9632439099599137,9.46143868622406e-27,0.8376811594202899,2.232470567835097e-16,0.0,0.6666666666666666,1.0,1,1,1
47,0.9639839654640764,6.0940356753159314e-27,0.8570048309178745,4.531790376201061e-17,0.0,1.0,1.0,1,1,1
48,0.9090965155720011,2.421921472182624e-18,0.7623188405797102,7.9968559987162e-14,1.0,0.6666666666666666,0.8,1,1,1
49,0.8280604378661732,1.2517415384632437e-12,0.6560386473429952,1.2855171459393662e-10,1.0,0.6666666666666666,0.4,1,1,1
50,0.7482577860006167,2.264161301334342e-09,0.5516908212560387,6.433472482666403e-08,1.0,0.6666666666666666,0.6,1,1,1
51,0.8490286771507862,8.988282390742938e-14,0.6734299516908213,4.130985774800428e-11,0.0,0.6666666666666666,0.8,1,1,1
