eval_id,spearman_corr,spearman_p_value,kendall_corr,kendall_p_value,top1_recall,top3_recall,top5_recall,top1_hit_in_top3,top1_hit_in_top5,top3_hit_in_top5
0,0.8952821461609621,4.707162010927614e-17,0.7159420289855074,2.2847262364297595e-12,1.0,0.3333333333333333,0.6,1,1,1
1,0.9621338267036695,1.8001851161022044e-26,0.8473429951690822,1.0102954032139838e-16,0.0,0.6666666666666666,0.8,0,1,1
2,0.9590502621029909,9.76366148923472e-26,0.8454106280193238,1.1847401611884406e-16,0.0,0.6666666666666666,1.0,1,1,1
3,0.8107924761023744,8.507422989596235e-12,0.6579710144927536,1.1347686261607677e-10,1.0,0.6666666666666666,1.0,1,1,1
4,0.9759481961147086,9.55345140669336e-31,0.8937198067632851,1.9867392397024148e-18,0.0,0.6666666666666666,1.0,0,1,1
5,0.9394387912426765,4.373039208534307e-22,0.8299516908212562,4.1830274892915368e-16,0.0,0.6666666666666666,1.0,0,1,1
6,0.958186864014801,1.5315431720475152e-25,0.8434782608695653,1.3888143819873652e-16,0.0,0.6666666666666666,1.0,1,1,1
7,0.9331483194572926,3.6033808895112476e-21,0.7893719806763286,1.0301367091651797e-14,0.0,0.6666666666666666,0.8,1,1,1
8,0.9555966697502314,5.595831418237864e-25,0.8589371980676329,3.85631996090833e-17,0.0,1.0,1.0,1,1,1
9,0.9747147702744372,2.834928330161335e-30,0.8879227053140097,3.283017251454558e-18,0.0,1.0,1.0,1,1,1
10,0.9409189022510022,2.576381525882562e-22,0.8086956521739131,2.2843464354283755e-15,0.0,0.6666666666666666,1.0,1,1,1
11,0.9257477644156644,3.3611537642202056e-20,0.7835748792270532,1.6074733190671513e-14,1.0,0.6666666666666666,0.8,1,1,1
12,0.9332716620413197,3.464341655503509e-21,0.8086956521739131,2.2843464354283755e-15,1.0,1.0,0.8,1,1,1
13,0.9694110391612705,1.7719814722973537e-28,0.8685990338164252,1.7115265214254554e-17,1.0,0.6666666666666666,1.0,1,1,1
14,0.9865556583410421,2.947488842881802e-36,0.9207729468599034,1.827592892965346e-19,1.0,1.0,1.0,1,1,1
15,0.9521430773974714,2.8061923278663562e-24,0.8492753623188406,8.612316767936217e-17,0.0,1.0,1.0,1,1,1
16,0.9539932161578786,1.2013279525346272e-24,0.8280193236714977,4.889709099620152e-16,1.0,0.3333333333333333,0.8,1,1,1
17,0.9522664199814985,2.654671436934092e-24,0.8202898550724639,9.097388849198581e-16,0.0,1.0,0.8,1,1,1
18,0.9710144927536232,5.509424693604002e-29,0.8685990338164252,1.7115265214254554e-17,0.0,1.0,1.0,1,1,1
19,0.8909651557200123,1.0938049122526382e-16,0.7294685990338166,8.776025419207755e-13,1.0,0.3333333333333333,0.8,1,1,1
20,0.7618254702436016,7.8015976668805e-10,0.5922705314009663,6.476014100237665e-09,0.0,0.6666666666666666,0.8,0,1,1
21,0.9083564600678384,2.8725010781205247e-18,0.7526570048309179,1.6349572756659623e-13,0.0,0.6666666666666666,0.8,1,1,1
22,0.8902251002158494,1.2594234944937004e-16,0.7198067632850242,1.7413024409909702e-12,1.0,0.6666666666666666,0.8,1,1,1
23,0.6410730804810361,1.5890498199873248e-06,0.5014492753623189,8.925005293708524e-07,0.0,0.0,0.4,0,0,0
24,0.9426456984273821,1.3656289809740737e-22,0.8009661835748794,4.190405884310072e-15,1.0,0.3333333333333333,0.8,1,1,1
25,0.8976256552574776,2.9325090820316016e-17,0.727536231884058,1.0072077799350246e-12,1.0,0.6666666666666666,0.6,1,1,1
26,0.8912118408880665,1.0433534148581914e-16,0.7256038647342996,1.155546141383228e-12,0.0,0.6666666666666666,0.6,1,1,1
27,0.9394387912426765,4.373039208534307e-22,0.8067632850241546,2.6599021790638486e-15,0.0,0.6666666666666666,0.8,0,1,1
28,0.8801110083256244,7.864720474937795e-16,0.731400966183575,7.644052846363647e-13,1.0,0.6666666666666666,0.8,1,1,1
29,0.9242676534073389,5.109561631774595e-20,0.8009661835748794,4.190405884310072e-15,1.0,0.6666666666666666,0.8,1,1,1
30,0.7980881899475794,3.0893267622198285e-11,0.6173913043478262,1.4471192250385485e-09,1.0,0.6666666666666666,0.8,1,1,1
31,0.9148936170212766,6.038164797020476e-19,0.7526570048309179,1.6349572756659623e-13,0.0,0.6666666666666666,0.8,1,1,1
32,0.8920752389762565,8.836138879499551e-17,0.7429951690821257,3.313332089997252e-13,0.0,1.0,1.0,1,1,1
33,0.7280296022201665,9.84421972433939e-09,0.5323671497584542,1.8189171663922032e-07,0.0,0.3333333333333333,0.4,0,1,1
34,0.7968547641073079,3.484368581462912e-11,0.5961352657004831,5.162438389154044e-09,0.0,0.0,0.2,0,0,1
35,0.9331483194572926,3.6033808895112476e-21,0.7855072463768117,1.3863752939644195e-14,1.0,0.6666666666666666,0.8,1,1,1
36,0.9505396238051186,5.699565818485089e-24,0.8183574879227054,1.0615522351739115e-15,1.0,0.6666666666666666,0.8,1,1,1
37,0.7190255935861856,1.8174096300227495e-08,0.5671497584541063,2.7318816427404278e-08,1.0,0.6666666666666666,0.6,1,1,1
38,0.5076164045636756,0.00031717706046566576,0.41642512077294686,4.488609228325504e-05,0.0,0.0,0.4,0,0,0
39,0.744804193647857,2.93807544976792e-09,0.5323671497584542,1.8189171663922032e-07,1.0,0.3333333333333333,0.4,1,1,1
40,0.9177304964539007,2.950267150875176e-19,0.7623188405797102,7.9968559987162e-14,1.0,1.0,0.6,1,1,1
41,0.8622263336416898,1.384503206836259e-14,0.6908212560386474,1.2902424814350142e-11,0.0,0.3333333333333333,0.2,0,0,1
42,0.989885908109775,5.815393072740257e-39,0.9323671497584541,6.43475184753334e-20,0.0,1.0,0.8,1,1,1
43,0.9490595127967931,1.0738863908279603e-23,0.8280193236714977,4.889709099620152e-16,0.0,1.0,0.8,1,1,1
44,0.989145852605612,2.729288673555369e-38,0.9246376811594205,1.2923478771499127e-19,0.0,0.6666666666666666,0.8,1,1,1
45,0.9860622880049337,6.480810737624138e-36,0.9111111111111112,4.31952101818562e-19,1.0,1.0,0.8,1,1,1
46,0.9800185013876039,1.685251448117878e-32,0.8859903381642513,3.878611469459177e-18,0.0,0.6666666666666666,1.0,1,1,1
47,0.9679309281529448,4.936118047198209e-28,0.8801932367149758,6.382087671072473e-18,0.0,1.0,1.0,1,1,1
48,0.9121800801726796,1.1707387935313955e-18,0.7526570048309179,1.6349572756659623e-13,1.0,0.6666666666666666,0.6,1,1,1
49,0.7560283687943262,1.2403555545077229e-09,0.5768115942028986,1.5814310268551007e-08,1.0,0.6666666666666666,0.4,1,1,1
50,0.7086648165279062,3.576687676535381e-08,0.540096618357488,1.2052561427685127e-07,0.0,0.6666666666666666,0.4,1,1,1
51,0.9479494295405488,1.7059717262978344e-23,0.8183574879227054,1.0615522351739115e-15,1.0,1.0,0.8,1,1,1
52,0.47135368485969786,0.0009447423198405531,0.35458937198067636,0.0005112120340365108,0.0,0.0,0.2,0,0,0
53,0.9086031452358928,2.7141260559092553e-18,0.7371980676328503,5.04060912880303e-13,0.0,0.0,0.2,0,0,0
54,0.911686709836571,1.317480065994531e-18,0.7410628019323672,3.812039424065878e-13,1.0,0.6666666666666666,0.6,1,1,1
55,0.839654640764724,3.0564464909889563e-13,0.6599033816425122,1.0013463709740305e-10,1.0,0.3333333333333333,0.4,1,1,1
56,0.9541165587419056,1.1338655487049279e-24,0.8241545893719807,6.674319119276607e-16,1.0,0.6666666666666666,0.6,1,1,1
57,0.9705211224175145,7.946681266575495e-29,0.8743961352657006,1.0468034513765422e-17,0.0,1.0,1.0,1,1,1
58,0.9452358926919519,5.0744577167396535e-23,0.8067632850241546,2.6599021790638486e-15,0.0,0.6666666666666666,0.6,1,1,1
59,0.9293246993524513,1.1773510710700566e-20,0.7951690821256039,6.5806036025021286e-15,1.0,0.6666666666666666,0.6,1,1,1
60,0.9000925069380205,1.759847042703699e-17,0.7410628019323672,3.812039424065878e-13,0.0,0.6666666666666666,1.0,1,1,1
