eval_id,spearman_corr,spearman_p_value,kendall_corr,kendall_p_value,top1_recall,top3_recall,top5_recall,top1_hit_in_top3,top1_hit_in_top5,top3_hit_in_top5
0,0.7802035152636446,1.6385064485819075e-10,0.5768115942028986,1.5814310268551007e-08,1.0,0.6666666666666666,0.6,1,1,1
1,0.8590194264569843,2.2192182381816708e-14,0.6792270531400967,2.8116847205961075e-11,0.0,0.6666666666666666,0.8,0,1,1
2,0.8573190666754571,2.8367114604495824e-14,0.6959884814859463,9.271909048814517e-12,0.0,0.3333333333333333,0.6,1,1,1
3,0.8167129201356768,4.511066277500138e-12,0.6521739130434783,1.64801717928227e-10,1.0,0.6666666666666666,1.0,1,1,1
4,0.9403311854974964,3.183827857175121e-22,0.8119865617336041,1.811625169890937e-15,0.0,1.0,1.0,1,1,1
5,0.8862781375269811,2.627403090946334e-16,0.7565217391304349,1.2295071770569135e-13,0.0,1.0,1.0,1,1,1
6,0.8901017576318223,1.289242509512405e-16,0.7371980676328503,5.04060912880303e-13,0.0,0.6666666666666666,1.0,1,1,1
7,0.8866481652790625,2.4552191904852946e-16,0.7062801932367151,4.4777370694732454e-12,0.0,0.6666666666666666,0.8,1,1,1
8,0.9428597864422984,1.260551960807076e-22,0.8139198630710651,1.5544440830594628e-15,0.0,0.6666666666666666,1.0,0,1,1
9,0.9762866574687064,7.018521781097204e-31,0.8815854098821988,5.855184382870687e-18,1.0,0.6666666666666666,1.0,1,1,1
10,0.9040394696268886,7.557550176080846e-18,0.7584541062801934,1.0656477039237877e-13,1.0,1.0,1.0,1,1,1
11,0.8929044994840134,7.522634188020594e-17,0.7559208229472362,1.3171834620170502e-13,1.0,1.0,1.0,1,1,1
12,0.9160037002775206,4.5761348334945705e-19,0.7797101449275363,2.1587866899104843e-14,1.0,1.0,0.8,1,1,1
13,0.9370952821461609,9.840433791271207e-22,0.7932367149758455,7.643556571774361e-15,1.0,0.6666666666666666,0.8,1,1,1
14,0.9656788681392928,2.1471623846426308e-27,0.8583857938326672,4.167211102770943e-17,1.0,0.6666666666666666,1.0,1,1,1
15,0.900709219858156,1.5457262687646857e-17,0.7565217391304349,1.2295071770569135e-13,0.0,0.6666666666666666,1.0,0,1,1
16,0.9146134636930459,6.471918575130005e-19,0.7849203430091506,1.4888875187279158e-14,1.0,0.6666666666666666,0.8,1,1,1
17,0.916373728029602,4.1686377054078472e-19,0.7681159420289856,5.184760049164851e-14,0.0,1.0,0.8,1,1,1
18,0.9277498539672615,1.880906673969819e-20,0.7926535483589945,8.214109297295643e-15,0.0,1.0,1.0,1,1,1
19,0.8179463459759482,3.94126044895166e-12,0.6367149758454107,4.3893796322763295e-10,1.0,0.6666666666666666,0.8,1,1,1
20,0.7672525439407956,4.994276825389912e-10,0.5961352657004831,5.162438389154044e-09,0.0,0.6666666666666666,0.6,1,1,1
21,0.788861821584474,7.45321054100781e-11,0.5915902092630544,6.841542481322758e-09,0.0,0.3333333333333333,0.6,0,1,1
22,0.8397779833487512,3.00915753990999e-13,0.6695652173913044,5.3294476867745036e-11,1.0,0.6666666666666666,0.6,1,1,1
23,0.6193647856922603,4.451489182492864e-06,0.44541062801932374,1.2722865119828496e-05,0.0,0.0,0.2,0,0,0
24,0.9158803576934937,4.720184936157625e-19,0.7410628019323672,3.812039424065878e-13,0.0,0.3333333333333333,0.8,1,1,1
25,0.9384520505704594,6.17695471658019e-22,0.7874396135265701,1.1952658481789255e-14,1.0,0.6666666666666666,0.6,1,1,1
26,0.6955905026210298,8.071735984188726e-08,0.5285024154589372,2.2298398382727823e-07,0.0,0.6666666666666666,0.8,1,1,1
27,0.9155103299414123,5.178648255520942e-19,0.770048309178744,4.484272529797103e-14,0.0,0.6666666666666666,0.8,1,1,1
28,0.871600370027752,3.2477412101245445e-15,0.6908212560386474,1.2902424814350142e-11,0.0,0.6666666666666666,0.8,1,1,1
29,0.8939253777366636,6.159386754505197e-17,0.7410628019323672,3.812039424065878e-13,1.0,0.6666666666666666,0.8,1,1,1
30,0.833240826395313,6.756362495519183e-13,0.6695652173913044,5.3294476867745036e-11,1.0,1.0,0.8,1,1,1
31,0.8538390379278447,4.6430306621088725e-14,0.6695652173913044,5.3294476867745036e-11,0.0,0.6666666666666666,0.8,1,1,1
32,0.9036356352009782,8.253961571163226e-18,0.7559208229472362,1.3171834620170502e-13,0.0,0.6666666666666666,1.0,1,1,1
33,0.6344125809435708,2.198197237364541e-06,0.44927536231884063,1.0691659325176429e-05,0.0,0.6666666666666666,0.6,1,1,1
34,0.7407338883749613,3.9732270338228484e-09,0.5304347826086957,2.0142750574834514e-07,0.0,0.0,0.0,0,0,0
35,0.917113783533765,3.454785458527918e-19,0.7661835748792271,5.992555821862444e-14,1.0,0.6666666666666666,0.6,1,1,1
36,0.9435090965155721,9.869050218281675e-23,0.7971014492753623,5.663469784008988e-15,1.0,0.6666666666666666,0.8,1,1,1
37,0.7027443724946038,5.198635281626472e-08,0.5439613526570048,9.790527239247618e-08,1.0,0.6666666666666666,0.6,1,1,1
38,0.50613629355535,0.00033242546813859355,0.40289855072463776,7.87346622644894e-05,0.0,0.0,0.2,0,0,0
39,0.8172062904717854,4.274391111831471e-12,0.6077294685990339,2.593294513752466e-09,1.0,0.3333333333333333,0.4,1,1,1
40,0.8179463459759482,3.94126044895166e-12,0.6309178743961353,6.301314773650868e-10,1.0,0.6666666666666666,0.6,1,1,1
41,0.7990749306197965,2.804119563405632e-11,0.6173913043478262,1.4471192250385485e-09,0.0,0.3333333333333333,0.2,0,0,1
42,0.9724946037619487,1.7654734373419883e-29,0.8743961352657006,1.0468034513765422e-17,0.0,1.0,0.8,1,1,1
43,0.9188405797101449,2.213569956237492e-19,0.7797101449275363,2.1587866899104843e-14,0.0,1.0,0.8,1,1,1
44,0.9749915203994176,2.2315767381447994e-30,0.8893186152320426,3.0096623374186063e-18,0.0,1.0,0.8,1,1,1
45,0.9516790531522178,3.453364344356141e-24,0.8371194791205966,2.408133049836378e-16,0.0,1.0,1.0,1,1,1
46,0.8707369719395621,3.7291639359746086e-15,0.6772946859903383,3.197532087839558e-11,0.0,0.6666666666666666,0.8,1,1,1
47,0.9369719395621338,1.0260680318095547e-21,0.8067632850241546,2.6599021790638486e-15,0.0,1.0,1.0,1,1,1
48,0.8782608695652174,1.0800902300921018e-15,0.7256038647342996,1.155546141383228e-12,1.0,0.6666666666666666,0.4,1,1,1
49,0.7415972864631514,3.72856078478353e-09,0.578743961352657,1.4161630432323268e-08,0.0,0.6666666666666666,0.6,1,1,1
50,0.7083783037072369,3.642774201328786e-08,0.5471242785014523,8.358473216359429e-08,1.0,0.6666666666666666,0.6,1,1,1
51,0.6159111933395005,5.20709358386131e-06,0.4705314009661836,4.007559502059384e-06,0.0,0.6666666666666666,0.4,1,1,1
52,0.5201973481344434,0.0002109382889835313,0.3739130434782609,0.00024813733433018306,0.0,0.0,0.2,0,0,0
53,0.8500154178230033,7.864052187222791e-14,0.6599033816425122,1.0013463709740305e-10,0.0,0.0,0.2,0,0,0
54,0.8185630588960839,3.6825416195972665e-12,0.6173913043478262,1.4471192250385485e-09,0.0,0.3333333333333333,0.4,1,1,1
55,0.7766265803268578,2.2455821180099004e-10,0.6019323671497585,3.6646865571023107e-09,0.0,0.3333333333333333,0.4,1,1,1
56,0.8728337958680235,2.6611564174172003e-15,0.7004830917874397,6.676658839986595e-12,0.0,0.6666666666666666,0.4,1,1,1
57,0.9478260869565217,1.7948774361166694e-23,0.8415458937198069,1.6274650443819702e-16,0.0,1.0,0.8,1,1,1
58,0.8850447116867097,3.2879035644399726e-16,0.7294685990338166,8.776025419207755e-13,0.0,0.6666666666666666,0.4,1,1,1
59,0.7628122109158186,7.20019908659684e-10,0.5884057971014494,8.112479155792842e-09,0.0,0.3333333333333333,0.4,1,1,1
60,0.8435659444634849,1.8520711528843473e-13,0.6727888654364148,4.3944442082741504e-11,0.0,0.6666666666666666,0.8,1,1,1
61,0.3918714732505471,0.007074531714613072,0.3151281180061368,0.002023537234577645,0.0,0.3333333333333333,0.4,0,0,1
62,0.8344742522355845,5.815717985892299e-13,0.6792270531400967,2.8116847205961075e-11,0.0,1.0,1.0,1,1,1
63,0.8474252235584334,1.1145589583212384e-13,0.6830917874396135,2.1717616884961703e-11,1.0,0.6666666666666666,0.8,1,1,1
64,0.496900922250497,0.0004434715025014982,0.4233929929039507,3.3651257438289457e-05,1.0,0.6666666666666666,0.8,1,1,1
65,0.6907397702873981,1.0800266062026218e-07,0.5490575798389132,7.525456481075496e-08,0.0,0.6666666666666666,0.8,1,1,1
66,0.8820844896700585,5.574462490439456e-16,0.7140096618357488,2.6156811000340403e-12,1.0,0.6666666666666666,0.6,1,1,1
67,0.2097440641381437,0.1618065525344773,0.1632850241545894,0.1095724848709253,0.0,0.0,0.2,0,0,0
68,0.7679925994449583,4.695206356835029e-10,0.5980676328502416,4.606814375152793e-09,1.0,0.6666666666666666,0.6,1,1,1
69,0.8569490275128032,2.991130785663362e-14,0.6592557560741881,1.0639825363467017e-10,1.0,0.6666666666666666,0.8,1,1,1
70,0.8223503658046577,2.4131975614666738e-12,0.6205897293249689,1.2106568810277308e-09,0.0,0.6666666666666666,0.4,1,1,1
71,0.8466851680542707,1.2298825506739965e-13,0.6618357487922706,8.833013234013512e-11,1.0,0.6666666666666666,0.8,1,1,1
