eval_id,spearman_corr,spearman_p_value,kendall_corr,kendall_p_value,top1_recall,top3_recall,top5_recall,top1_hit_in_top3,top1_hit_in_top5,top3_hit_in_top5
0,0.8931853222325007,7.121502050465573e-17,0.7159420289855074,2.2847262364297595e-12,1.0,0.6666666666666666,0.6,1,1,1
1,0.9078630897317298,3.215976441524907e-18,0.7545893719806763,1.4180623150114734e-13,0.0,1.0,1.0,1,1,1
2,0.9456059204440332,4.388021619988151e-23,0.8241545893719807,6.674319119276607e-16,0.0,0.3333333333333333,0.8,1,1,1
3,0.8179463459759482,3.94126044895166e-12,0.6579710144927536,1.1347686261607677e-10,1.0,0.6666666666666666,1.0,1,1,1
4,0.9613937711995065,2.73503320888455e-26,0.8550724637681161,5.323691415681353e-17,0.0,0.6666666666666666,1.0,1,1,1
5,0.923527597903176,6.279887130866393e-20,0.7971014492753623,5.663469784008988e-15,0.0,0.6666666666666666,1.0,1,1,1
6,0.9395621338267036,4.1865634414399906e-22,0.8106280193236716,1.9611228948024796e-15,0.0,0.6666666666666666,1.0,1,1,1
7,0.9016959605303729,1.2537602597731931e-17,0.7236714975845411,1.325264442079218e-12,0.0,0.6666666666666666,0.8,1,1,1
8,0.9616404563675609,2.3812835148888485e-26,0.8512077294685991,7.339018061067145e-17,0.0,0.6666666666666666,1.0,0,1,1
9,0.9642306506321306,5.2520912047833396e-27,0.8743961352657006,1.0468034513765422e-17,0.0,1.0,1.0,1,1,1
10,0.912550107924761,1.0710232975026753e-18,0.7449275362318841,2.8788528583639575e-13,0.0,0.3333333333333333,0.8,0,1,1
11,0.887018193031144,2.2937797440643696e-16,0.7391304347826088,4.384264337554626e-13,1.0,0.6666666666666666,0.6,1,1,1
12,0.9303114400246684,8.730063617948665e-21,0.8028985507246378,3.602572392758914e-15,1.0,1.0,0.6,1,1,1
13,0.9548566142460684,7.989096996153653e-25,0.8357487922705314,2.6133186546839795e-16,1.0,1.0,0.8,1,1,1
14,0.9708911501695959,6.041323147898783e-29,0.8608695652173914,3.2803683129676725e-17,1.0,0.6666666666666666,1.0,1,1,1
15,0.9384520505704594,6.17695471658019e-22,0.8202898550724639,9.097388849198581e-16,0.0,1.0,1.0,1,1,1
16,0.9242676534073389,5.109561631774595e-20,0.7835748792270532,1.6074733190671513e-14,1.0,0.6666666666666666,0.8,1,1,1
17,0.9269811902559358,2.3551104915840816e-20,0.773913043478261,3.3508803121961034e-14,0.0,0.6666666666666666,0.8,1,1,1
18,0.9721245760098673,2.3599622405817048e-29,0.8743961352657006,1.0468034513765422e-17,0.0,0.6666666666666666,1.0,1,1,1
19,0.8901017576318223,1.289242509512405e-16,0.727536231884058,1.0072077799350246e-12,1.0,0.6666666666666666,0.8,1,1,1
20,0.7282762873882207,9.676960763721043e-09,0.5458937198067633,8.819474796565231e-08,0.0,0.3333333333333333,0.6,0,0,1
21,0.8609929078014185,1.6622886739138476e-14,0.6695652173913044,5.3294476867745036e-11,0.0,0.3333333333333333,0.6,0,1,1
22,0.8802343509096516,7.698706605503083e-16,0.7062801932367151,4.4777370694732454e-12,1.0,0.6666666666666666,0.8,1,1,1
23,0.6927536231884058,9.576939567442732e-08,0.5246376811594203,2.729799214808456e-07,0.0,0.0,0.6,0,0,1
24,0.8973789700894232,3.0839367421662127e-17,0.7236714975845411,1.325264442079218e-12,1.0,0.3333333333333333,0.6,1,1,1
25,0.9414122725871107,2.153277704284745e-22,0.8067632850241546,2.6599021790638486e-15,1.0,0.6666666666666666,0.6,1,1,1
26,0.8754239901325932,1.7395588964212946e-15,0.6869565217391306,1.6751245906624998e-11,0.0,0.6666666666666666,0.6,1,1,1
27,0.945359235275979,4.835018454726593e-23,0.8106280193236716,1.9611228948024796e-15,0.0,0.6666666666666666,0.8,0,1,1
28,0.8048720320690719,1.5699088713252272e-11,0.62512077294686,9.017570246236506e-10,1.0,0.6666666666666666,0.8,1,1,1
29,0.8938020351526365,6.31066851645633e-17,0.7526570048309179,1.6349572756659623e-13,1.0,0.6666666666666666,0.8,1,1,1
30,0.8009250693802035,2.3350228984875883e-11,0.621256038647343,1.1431444212754388e-09,1.0,0.3333333333333333,0.6,1,1,1
31,0.9019426456984272,1.1894192956951321e-17,0.7236714975845411,1.325264442079218e-12,0.0,0.6666666666666666,0.8,1,1,1
32,0.8809744064138144,6.770338469709216e-16,0.7333333333333334,6.655742075887841e-13,0.0,1.0,1.0,1,1,1
33,0.7620721554116558,7.646970968573335e-10,0.5690821256038647,2.450657335646773e-08,0.0,0.3333333333333333,0.4,0,1,1
34,0.7729263028060437,3.092568676311628e-10,0.5652173913043479,3.044315796053419e-08,0.0,0.0,0.2,0,0,1
35,0.8823311748381127,5.33741522414976e-16,0.7101449275362319,3.4247384130077036e-12,1.0,0.6666666666666666,0.8,1,1,1
36,0.929941412272587,9.771190134897858e-21,0.7816425120772947,1.863173978172736e-14,1.0,0.6666666666666666,0.6,1,1,1
37,0.7914276904101142,5.86000204707251e-11,0.6309178743961353,6.301314773650868e-10,0.0,0.6666666666666666,0.4,1,1,1
