eval_id,spearman_corr,spearman_p_value,kendall_corr,kendall_p_value,top1_recall,top3_recall,top5_recall,top1_hit_in_top3,top1_hit_in_top5,top3_hit_in_top5
0,0.8544557508479803,4.258771937987551e-14,0.667632850241546,6.050170861616361e-11,1.0,0.6666666666666666,0.6,1,1,1
1,0.9510329941412272,4.594714127257643e-24,0.8241545893719807,6.674319119276607e-16,0.0,0.6666666666666666,0.8,0,1,1
2,0.9537465309898242,1.347894426143107e-24,0.8280193236714977,4.889709099620152e-16,0.0,0.6666666666666666,1.0,1,1,1
3,0.8402713536848597,2.8268344612446015e-13,0.6772946859903383,3.197532087839558e-11,1.0,0.6666666666666666,1.0,1,1,1
4,0.980881899475794,6.433271865678734e-33,0.9053140096618358,7.206465044850914e-19,1.0,1.0,1.0,1,1,1
5,0.9290780141843971,1.2678992488891083e-20,0.8048309178743962,3.0961066445279464e-15,0.0,1.0,1.0,1,1,1
6,0.9375886524822694,8.317589444369563e-22,0.8125603864734301,1.6830390035281565e-15,1.0,0.6666666666666666,1.0,1,1,1
7,0.9255010792476102,3.6063194907528785e-20,0.7719806763285025,3.877056117713733e-14,0.0,0.6666666666666666,0.8,0,1,1
8,0.9575701510946654,2.100286471239813e-25,0.8628019323671499,2.7894491421604266e-17,0.0,1.0,0.8,1,1,1
9,0.9770582793709527,3.416476942269212e-31,0.8956521739130435,1.6792773346176676e-18,0.0,1.0,1.0,1,1,1
10,0.9364785692260252,1.2118782981974007e-21,0.7971014492753623,5.663469784008988e-15,0.0,0.6666666666666666,1.0,1,1,1
11,0.9399321615787851,3.6714784591821564e-22,0.799033816425121,4.872434892165411e-15,0.0,0.6666666666666666,1.0,1,1,1
12,0.9414122725871107,2.153277704284745e-22,0.8106280193236716,1.9611228948024796e-15,1.0,1.0,0.8,1,1,1
13,0.9404255319148935,3.077892824453885e-22,0.8125603864734301,1.6830390035281565e-15,1.0,1.0,0.8,1,1,1
14,0.994572926302806,6.873066063760034e-45,0.9574879227053141,6.415923607614246e-21,1.0,1.0,1.0,1,1,1
15,0.9426456984273821,1.3656289809740737e-22,0.833816425120773,3.058055765675609e-16,0.0,1.0,1.0,1,1,1
16,0.9431390687634904,1.135005779596656e-22,0.8086956521739131,2.2843464354283755e-15,1.0,0.3333333333333333,0.8,1,1,1
17,0.9597903176071537,6.586450050701435e-26,0.8415458937198069,1.6274650443819702e-16,0.0,1.0,0.8,1,1,1
18,0.9671908726487819,8.092655165040164e-28,0.8608695652173914,3.2803683129676725e-17,0.0,1.0,1.0,1,1,1
19,0.8738205365402405,2.2657540906638646e-15,0.7236714975845411,1.325264442079218e-12,1.0,1.0,0.8,1,1,1
20,0.706691335183472,4.055625635708637e-08,0.5265700483091788,2.467616337685085e-07,0.0,0.3333333333333333,0.6,0,0,1
21,0.8920752389762565,8.836138879499551e-17,0.7294685990338166,8.776025419207755e-13,0.0,0.6666666666666666,0.6,1,1,1
22,0.8849213691026826,3.3619963052824625e-16,0.7198067632850242,1.7413024409909702e-12,1.0,1.0,0.8,1,1,1
23,0.6719087264878199,3.17811834611251e-07,0.5014492753623189,8.925005293708524e-07,0.0,0.0,0.2,0,0,0
24,0.9411655874190564,2.3558040261070827e-22,0.799033816425121,4.872434892165411e-15,1.0,0.6666666666666666,0.8,1,1,1
25,0.8527289546716003,5.418793083839652e-14,0.6637681159420291,7.788986692042163e-11,1.0,0.6666666666666666,0.4,1,1,1
26,0.8184397163120567,3.732966020253687e-12,0.6521739130434783,1.64801717928227e-10,1.0,0.6666666666666666,0.6,1,1,1
27,0.940795559666975,2.693910019364942e-22,0.799033816425121,4.872434892165411e-15,0.0,0.6666666666666666,0.8,0,1,1
28,0.8702436016034535,4.0338696695550165e-15,0.7294685990338166,8.776025419207755e-13,1.0,0.6666666666666666,0.8,1,1,1
29,0.8993524514338574,2.054018954813603e-17,0.7719806763285025,3.877056117713733e-14,1.0,0.6666666666666666,0.8,1,1,1
30,0.7843971631205674,1.1238249872363449e-10,0.6057971014492755,2.9111556369917754e-09,1.0,0.6666666666666666,0.8,1,1,1
31,0.915140302189331,5.679240438335108e-19,0.7545893719806763,1.4180623150114734e-13,0.0,0.6666666666666666,0.8,1,1,1
32,0.907123034227567,3.805205230066555e-18,0.773913043478261,3.3508803121961034e-14,1.0,1.0,1.0,1,1,1
33,0.6138143694110391,5.721918620177007e-06,0.4415458937198068,1.5119143580716663e-05,0.0,0.0,0.4,0,1,1
34,0.7831262145633376,1.2609717235636534e-10,0.5838570039132106,1.0714015819087056e-08,0.0,0.0,0.0,0,0,0
35,0.9168670983657107,3.6787154922609663e-19,0.7816425120772947,1.863173978172736e-14,1.0,0.6666666666666666,0.8,1,1,1
36,0.9405488744989207,2.944452632686432e-22,0.799033816425121,4.872434892165411e-15,1.0,0.6666666666666666,0.6,1,1,1
37,0.7736663583102065,2.9022150923284175e-10,0.6270531400966184,8.00489368305286e-10,1.0,0.6666666666666666,0.6,1,1,1
38,0.50527289546716,0.0003416230391378272,0.40869565217391307,6.20100789776944e-05,0.0,0.0,0.4,0,0,0
