eval_id,spearman_corr,spearman_p_value,kendall_corr,kendall_p_value,top1_recall,top3_recall,top5_recall,top1_hit_in_top3,top1_hit_in_top5,top3_hit_in_top5
0,0.8474252235584334,1.1145589583212384e-13,0.6444444444444446,2.6971242953647255e-10,0.0,0.6666666666666666,0.6,1,1,1
1,0.9474560592044403,2.088834959880421e-23,0.8125603864734301,1.6830390035281565e-15,0.0,0.6666666666666666,0.8,0,1,1
2,0.9257477644156644,3.3611537642202056e-20,0.7816425120772947,1.863173978172736e-14,0.0,0.3333333333333333,0.8,1,1,1
3,0.8385445575084798,3.5148653570801157e-13,0.685024154589372,1.907681963476234e-11,0.0,0.6666666666666666,0.8,1,1,1
4,0.9723712611779216,1.9456543950073348e-29,0.876328502415459,8.879424027773014e-18,0.0,1.0,0.8,1,1,1
5,0.9247610237434474,4.4480029544210283e-20,0.799033816425121,4.872434892165411e-15,0.0,0.6666666666666666,0.8,1,1,1
6,0.9377119950662965,7.973523570002527e-22,0.8241545893719807,6.674319119276607e-16,1.0,1.0,1.0,1,1,1
7,0.9088498304039468,2.5640712698237266e-18,0.7487922705314011,2.1710467524141845e-13,0.0,0.6666666666666666,0.8,0,1,1
8,0.9386987357385137,5.669048750887359e-22,0.8144927536231885,1.4438765751593782e-15,0.0,1.0,0.8,1,1,1
9,0.9711378353376502,5.022354836323047e-29,0.8724637681159422,1.2336493381504985e-17,0.0,0.6666666666666666,1.0,0,1,1
10,0.9421523280912735,1.6404380501542893e-22,0.8125603864734301,1.6830390035281565e-15,0.0,0.6666666666666666,0.8,1,1,1
11,0.9184705519580635,2.4371324418967287e-19,0.7661835748792271,5.992555821862444e-14,1.0,0.3333333333333333,1.0,1,1,1
12,0.9454825778600061,4.606360426116837e-23,0.8106280193236716,1.9611228948024796e-15,1.0,1.0,0.8,1,1,1
13,0.9569534381745298,2.8668720800466387e-25,0.8357487922705314,2.6133186546839795e-16,1.0,1.0,0.8,1,1,1
14,0.9872957138452051,8.545464644430268e-37,0.9169082125603866,2.580855576540007e-19,1.0,0.6666666666666666,0.8,1,1,1
15,0.9554733271662041,5.9404429351506055e-25,0.8531400966183575,6.251759349944923e-17,0.0,0.6666666666666666,1.0,1,1,1
16,0.9421523280912735,1.6404380501542893e-22,0.8048309178743962,3.0961066445279464e-15,1.0,0.6666666666666666,0.8,1,1,1
17,0.9595436324390996,7.516098211592872e-26,0.8318840579710146,3.577213390220673e-16,0.0,1.0,1.0,1,1,1
18,0.95177304964539,3.311751268922553e-24,0.8202898550724639,9.097388849198581e-16,1.0,1.0,1.0,1,1,1
19,0.8617329633055811,1.4898772948631695e-14,0.6927536231884058,1.131760126566698e-11,1.0,0.6666666666666666,0.8,1,1,1
20,0.7365402405180389,5.391254192867825e-09,0.5555555555555556,5.204244089980407e-08,0.0,0.3333333333333333,0.4,0,0,1
21,0.8914585260561209,9.951160978234018e-17,0.731400966183575,7.644052846363647e-13,0.0,0.6666666666666666,0.8,0,1,1
22,0.8464384828862165,1.2707710542517693e-13,0.6657004830917875,6.865948689653545e-11,1.0,0.6666666666666666,0.6,1,1,1
23,0.7789700894233735,1.8278210008751006e-10,0.5710144927536233,2.1976159934884282e-08,0.0,0.0,0.2,0,0,0
