eval_id,spearman_corr,spearman_p_value,kendall_corr,kendall_p_value,top1_recall,top3_recall,top5_recall,top1_hit_in_top3,top1_hit_in_top5,top3_hit_in_top5
0,0.6024668516805428,9.421235582798314e-06,0.43768115942028984,1.7942058520670892e-05,0.0,0.6666666666666666,0.6,1,1,1
1,0.4166640971483626,0.003971159523556931,0.2899952006191443,0.004503258340328473,0.0,0.0,0.0,0,0,0
2,0.6766374750749871,2.4415195546389773e-07,0.5116056551175763,5.468476537014919e-07,1.0,0.3333333333333333,0.4,1,1,1
3,0.5880357693493679,1.7290255566242992e-05,0.4357487922705314,1.9535339937351965e-05,1.0,0.6666666666666666,0.8,1,1,1
4,0.8211532531606537,2.7610625926669932e-12,0.646376811594203,2.385858440866336e-10,0.0,0.6666666666666666,0.6,0,0,1
5,0.6189947579401789,4.527303984435034e-06,0.4531400966183575,8.972374933840143e-06,0.0,0.3333333333333333,0.4,0,0,1
6,0.6996207101910932,6.309617905755004e-08,0.5297245664643037,2.11676553073781e-07,0.0,0.3333333333333333,0.6,0,1,1
7,0.8501387604070305,7.73327535235042e-14,0.6811594202898551,2.4715290044642348e-11,0.0,1.0,0.8,1,1,1
8,0.806722170829479,1.2992869465069795e-11,0.6405797101449275,3.4431552930598735e-10,0.0,0.6666666666666666,0.8,1,1,1
9,0.8316013448710068,8.230835661722783e-13,0.6515225507243442,1.7499515427500767e-10,0.0,0.6666666666666666,0.6,0,0,1
10,0.8217953070606768,2.568996770968638e-12,0.6302562360122737,6.678960445420645e-10,0.0,0.3333333333333333,0.6,0,1,1
11,0.6717034674178912,3.2143549870022533e-07,0.5251453132870396,2.7231089583846124e-07,0.0,0.0,0.2,0,0,0
12,0.8856614246068455,2.940101297655928e-16,0.7159420289855074,2.2847262364297595e-12,0.0,0.6666666666666666,0.6,1,1,1
13,0.658608036330279,6.508340960863722e-07,0.47559212901539666,3.1846069820072825e-06,0.0,0.0,0.6,0,0,1
14,0.8037250612844082,1.7635098196160545e-11,0.6244563319998908,9.553282259211892e-10,0.0,0.6666666666666666,0.8,1,1,1
15,0.7693493678692568,4.1901739548984074e-10,0.5903381642512078,7.2494751518156906e-09,0.0,0.6666666666666666,0.8,1,1,1
16,0.8053285643225754,1.498579895096275e-11,0.6302562360122737,6.678960445420645e-10,1.0,0.6666666666666666,0.6,1,1,1
