eval_id,spearman_corr,spearman_p_value,kendall_corr,kendall_p_value,top1_recall,top3_recall,top5_recall,top1_hit_in_top3,top1_hit_in_top5,top3_hit_in_top5
0,0.7666358310206598,5.257097582250547e-10,0.5884057971014494,8.112479155792842e-09,0.0,0.3333333333333333,0.4,1,1,1
1,0.6595331342369138,6.198929094412791e-07,0.48912523837762345,1.6586978013470794e-06,1.0,0.6666666666666666,0.6,1,1,1
2,0.6242136437183432,3.5605702694270315e-06,0.45938125932107515,6.866820295290152e-06,0.0,0.0,0.2,0,0,0
3,0.6738822078322539,2.848608526606202e-07,0.49565217391304356,1.1908023928063327e-06,0.0,0.6666666666666666,0.8,1,1,1
4,0.8730804810360777,2.556586442245526e-15,0.7140096618357488,2.6156811000340403e-12,0.0,0.6666666666666666,0.6,1,1,1
5,0.8058587727412889,1.4195795396721875e-11,0.6425120772946861,3.047929620681677e-10,0.0,0.3333333333333333,0.8,0,1,1
6,0.6120447750296553,6.192542583506719e-06,0.45239251296586513,9.366941365702129e-06,0.0,0.0,0.4,0,0,0
7,0.8432315757015109,1.9341360970701163e-13,0.6599033816425122,1.0013463709740305e-10,0.0,0.3333333333333333,0.4,0,0,1
8,0.9232809127351218,6.723693930231882e-20,0.7835748792270532,1.6074733190671513e-14,0.0,0.0,0.8,0,0,1
9,0.9205340902955094,1.4167231183552805e-19,0.76365402829708,7.422358128428802e-14,0.0,0.6666666666666666,0.6,1,1,1
10,0.6063708412022945,7.953222874601036e-06,0.43499280092871645,2.0364240813989467e-05,0.0,0.0,0.4,0,1,1
11,0.6441346996338679,1.3652728182482717e-06,0.48646057566000167,1.9082346464743676e-06,0.0,0.3333333333333333,0.4,0,0,1
12,0.8635831020659883,1.1299291910560411e-14,0.6946859903381644,9.923953367065989e-12,0.0,0.3333333333333333,0.8,0,0,1
13,0.868420241555076,5.377608368470221e-15,0.6843886734611806,2.031349468958584e-11,1.0,0.3333333333333333,0.4,1,1,1
14,0.8647198499285365,9.514550982056764e-15,0.7037216868357902,5.458045164928319e-12,1.0,0.3333333333333333,0.6,1,1,1
15,0.7984582176996607,2.97931028349517e-11,0.6231884057971016,1.015479994433737e-09,1.0,0.6666666666666666,0.8,1,1,1
16,0.812482654800552,7.114284473569358e-12,0.6476559480494223,2.239532481413618e-10,0.0,0.6666666666666666,0.6,1,1,1
17,0.8978723404255319,2.7881597929637954e-17,0.7371980676328503,5.04060912880303e-13,0.0,0.6666666666666666,1.0,0,1,1
18,0.889855072463768,1.350902762251287e-16,0.7256038647342996,1.155546141383228e-12,1.0,0.6666666666666666,0.6,1,1,1
19,0.8667900092506938,6.9289781718736815e-15,0.6946859903381644,9.923953367065989e-12,0.0,0.6666666666666666,0.6,1,1,1
20,0.5104847672222831,0.0002894122856153,0.36460365213483226,0.00035723578689746805,0.0,0.0,0.4,0,0,1
21,0.8250639863307867,1.7717171086063766e-12,0.66312235874911,8.278926797986054e-11,0.0,0.3333333333333333,0.4,0,0,1
22,0.7961147086031451,3.743769844587548e-11,0.6367149758454107,4.3893796322763295e-10,1.0,0.3333333333333333,0.8,1,1,1
23,0.6277484838904213,3.0183870001226047e-06,0.4605713607623601,6.561249402670184e-06,0.0,0.0,0.4,0,1,1
24,0.7228492136910268,1.4048826131355924e-08,0.5362318840579711,1.4816588718017126e-07,0.0,0.3333333333333333,0.6,1,1,1
25,0.8549491211840887,3.9732563020582395e-14,0.6695652173913044,5.3294476867745036e-11,1.0,1.0,0.6,1,1,1
26,0.6904526965148555,1.0986077376453999e-07,0.5483561558632624,7.920805033820955e-08,0.0,0.3333333333333333,0.2,1,1,1
27,0.8207832254085724,2.877835188529408e-12,0.6444444444444446,2.6971242953647255e-10,0.0,0.6666666666666666,0.8,0,0,1
28,0.7983348751156337,3.015565145778749e-11,0.6425120772946861,3.047929620681677e-10,0.0,0.3333333333333333,0.8,0,1,1
29,0.775023126734505,2.581541483368076e-10,0.5845410628019324,1.014828104614016e-08,0.0,0.3333333333333333,0.2,0,0,1
30,0.6830095590502621,1.6983162541320776e-07,0.5091787439613528,6.046812504885475e-07,0.0,0.0,0.4,0,0,1
31,0.8402713536848597,2.8268344612446015e-13,0.6618357487922706,8.833013234013512e-11,0.0,0.3333333333333333,0.6,0,0,1
