eval_id,spearman_corr,spearman_p_value,kendall_corr,kendall_p_value,top1_recall,top3_recall,top5_recall,top1_hit_in_top3,top1_hit_in_top5,top3_hit_in_top5
0,0.9041628122109158,7.356226026690488e-18,0.7352657004830918,5.793169937440988e-13,0.0,0.6666666666666666,1.0,1,1,1
1,0.7694347655451409,4.160160875096224e-10,0.5722571958884448,2.0777800232495468e-08,0.0,0.3333333333333333,0.6,0,0,1
2,0.907055632661365,3.8636898253126875e-18,0.7495167915238594,2.1604037121978644e-13,0.0,0.0,0.6,0,1,1
3,0.6757323465926611,2.5688540159503573e-07,0.5053140096618358,7.351375491595756e-07,0.0,0.0,0.6,0,1,1
4,0.929941412272587,9.771190134897858e-21,0.7855072463768117,1.3863752939644195e-14,1.0,0.3333333333333333,0.8,1,1,1
5,0.8222633364168979,2.437020890345261e-12,0.6405797101449275,3.4431552930598735e-10,0.0,0.3333333333333333,0.4,1,1,1
6,0.27315057523240055,0.06625199141973905,0.17593042170894754,0.08483774479657043,0.0,0.0,0.2,0,0,0
7,0.8829478877582485,4.785929272963889e-16,0.7159420289855074,2.2847262364297595e-12,1.0,1.0,0.8,1,1,1
8,0.9375886524822694,8.317589444369563e-22,0.8048309178743962,3.0961066445279464e-15,0.0,0.6666666666666666,0.8,0,1,1
9,0.852076845204526,5.930148447200998e-14,0.6727888654364148,4.3944442082741504e-11,0.0,0.3333333333333333,0.8,1,1,1
10,-0.042307810930103135,0.7801115852563786,-0.015466410699687698,0.8795835039096972,0.0,0.0,0.0,0,0,0
11,0.8284198856263992,1.20011012188559e-12,0.6624761318630242,8.799006619703265e-11,1.0,0.3333333333333333,0.4,1,1,1
12,0.9222941720629048,8.815551124035767e-20,0.7835748792270532,1.6074733190671513e-14,0.0,1.0,0.8,1,1,1
13,0.9591415095990727,9.304746192957689e-26,0.8313195751082136,3.8568014634359353e-16,1.0,1.0,0.6,1,1,1
14,0.8915476892209488,9.782077739492581e-17,0.7172547961980169,2.1302074925780584e-12,0.0,0.3333333333333333,0.4,0,0,1
15,0.7106382978723405,3.151052716015949e-08,0.5420289855072464,1.086471355882162e-07,0.0,0.3333333333333333,0.8,0,0,1
16,0.8090906291428906,1.0167726145734756e-11,0.6379894413621175,4.1240108988971603e-10,0.0,0.6666666666666666,0.8,1,1,1
17,0.9594202898550723,8.026559582882102e-26,0.8531400966183575,6.251759349944923e-17,1.0,1.0,0.8,1,1,1
18,0.9236509404872032,6.068571834647702e-20,0.7835748792270532,1.6074733190671513e-14,1.0,0.6666666666666666,1.0,1,1,1
19,0.9200740055504163,1.6008850915476564e-19,0.7623188405797102,7.9968559987162e-14,1.0,0.6666666666666666,0.8,1,1,1
20,0.7005057371161884,5.974197205150335e-08,0.5212768395243358,3.3291527023588606e-07,0.0,0.3333333333333333,0.6,0,0,1
21,0.8494248978721726,8.519704588682973e-14,0.6689222627614929,5.6674749129762755e-11,0.0,0.3333333333333333,0.4,0,0,1
22,0.8962688868331791,3.862084843345174e-17,0.7294685990338166,8.776025419207755e-13,1.0,0.6666666666666666,0.6,1,1,1
23,0.6776451751330379,2.3066848505248422e-07,0.5031451840261076,8.474900488501089e-07,0.0,0.0,0.6,0,0,1
24,0.9088498304039468,2.5640712698237266e-18,0.7352657004830918,5.793169937440988e-13,1.0,0.3333333333333333,0.6,1,1,1
25,0.8421214924452667,2.2319621323115477e-13,0.6657004830917875,6.865948689653545e-11,1.0,0.6666666666666666,0.4,1,1,1
26,0.9003330472285719,1.6731814222451492e-17,0.722437475184933,1.5124444827067977e-12,0.0,0.3333333333333333,0.4,0,0,1
27,0.8474252235584334,1.1145589583212384e-13,0.6946859903381644,9.923953367065989e-12,0.0,0.6666666666666666,0.6,0,0,1
28,0.8439716312056738,1.756924870532586e-13,0.6714975845410628,4.6929316495434334e-11,0.0,1.0,0.8,1,1,1
29,0.8637064446500153,1.10912979145158e-14,0.7101449275362319,3.4247384130077036e-12,1.0,0.6666666666666666,1.0,1,1,1
30,0.706691335183472,4.055625635708637e-08,0.5265700483091788,2.467616337685085e-07,1.0,0.3333333333333333,0.6,1,1,1
31,0.8841813135985198,3.8409248667877784e-16,0.7062801932367151,4.4777370694732454e-12,0.0,0.6666666666666666,0.8,0,1,1
32,0.5090505414243021,0.00030300786686287515,0.37312715812996566,0.00025731190226809566,0.0,0.0,0.2,0,0,0
33,0.859750834248958,1.9948582618038582e-14,0.6953581588460064,9.881951140547756e-12,1.0,1.0,0.8,1,1,1
34,0.8310975457283777,8.741870644668578e-13,0.6076445684007608,2.7343674942846245e-09,0.0,0.0,0.2,0,0,1
35,0.8154429681017838,5.17850213338923e-12,0.6418560440370394,3.233789550196343e-10,1.0,0.6666666666666666,0.8,1,1,1
36,0.9240209682392846,5.474448051953235e-20,0.770048309178744,4.484272529797103e-14,1.0,0.6666666666666666,0.8,1,1,1
37,0.7802035152636446,1.6385064485819075e-10,0.5806763285024156,1.2677238024591581e-08,0.0,0.0,0.0,0,0,0
38,0.42407795812739146,0.0033131715923342066,0.32978738827049814,0.001242546346354572,0.0,0.0,0.0,0,0,0
39,0.6204748689485045,4.231026803715718e-06,0.44734299516908216,1.1665134004163398e-05,1.0,0.3333333333333333,0.4,1,1,1
40,0.8366944187480727,4.4264427922044074e-13,0.6521739130434783,1.64801717928227e-10,1.0,0.6666666666666666,0.8,1,1,1
41,0.7752698119025593,2.526945471499659e-10,0.578743961352657,1.4161630432323268e-08,0.0,0.0,0.2,0,0,1
42,0.9547332716620414,8.472621772326943e-25,0.8570048309178745,4.531790376201061e-17,0.0,0.6666666666666666,0.8,1,1,1
43,0.7420518675087476,3.6054963283743543e-09,0.5548574838512962,5.480787926234524e-08,0.0,0.3333333333333333,0.4,0,1,1
44,0.9120231895544683,1.2156283286136485e-18,0.7926535483589945,8.214109297295643e-15,0.0,0.6666666666666666,1.0,1,1,1
45,0.7966080789392538,3.568891097465853e-11,0.6386473429951691,3.8882663577981857e-10,0.0,0.3333333333333333,0.8,1,1,1
46,0.9400555041628121,3.5136217312461646e-22,0.8009661835748794,4.190405884310072e-15,0.0,0.6666666666666666,0.8,1,1,1
47,0.9501695960530372,6.689658453186223e-24,0.8260869565217391,5.713757038313027e-16,1.0,0.6666666666666666,0.8,1,1,1
48,0.8908418131359851,1.119890806243278e-16,0.7256038647342996,1.155546141383228e-12,1.0,0.6666666666666666,0.4,1,1,1
49,0.5843535110243836,2.0094595531901843e-05,0.40599328086680203,6.984827155499764e-05,0.0,0.3333333333333333,0.2,0,0,1
50,0.06173296330558124,0.6835969004289126,0.06280193236714976,0.5382708717315443,0.0,0.0,0.0,0,0,0
51,0.9531298180696886,1.7924965108345763e-24,0.8280193236714977,4.889709099620152e-16,1.0,1.0,0.6,1,1,1
52,0.4315140302189331,0.002751464327757525,0.327536231884058,0.001328719714255688,0.0,0.0,0.2,0,0,0
53,0.7622806750671643,7.518519008502701e-10,0.5548574838512962,5.480787926234524e-08,0.0,0.0,0.2,0,0,0
